description,price,rating,review_count,url
"Philips Sonicare Genuine G2 Optimal Gum Care Replacement Toothbrush Heads, 3 Brush Heads, White, HX9033/65",27,4.8 out of 5 stars,"13,249",https://www.amazon.com/Philips-Sonicare-replacement-toothbrush-HX9033/dp/B078BF2BGN/ref=sr_1_34?keywords=Philips&qid=1701064576&sr=8-34
"Philips Sonicare ProtectiveClean 6100 Rechargeable Electric Power Toothbrush, White, HX6877/21",109,4.6 out of 5 stars,"13,101",https://www.amazon.com/Philips-Sonicare-ProtectiveClean-Rechargeable-HX6877/dp/B078GVDB18/ref=sr_1_35?keywords=Philips&qid=1701064576&sr=8-35
"PHILIPS Sonicare ProtectiveClean 6500 Rechargeable Electric Power Toothbrush with Charging Travel Case and Extra Brush Head, Black, HX6462/08",109,4.7 out of 5 stars,"12,618",https://www.amazon.com/Philips-Sonicare-ProtectiveClean-Rechargeable-HX6462/dp/B084X7Y1KS/ref=sr_1_36?keywords=Philips&qid=1701064576&sr=8-36
PHILIPS Zoom Nite White 22% 3 Syringes,34,4.6 out of 5 stars,"2,347",https://www.amazon.com/Philips-Zoom-Nite-White-Syringes/dp/B00AK5BMRK/ref=sr_1_37?keywords=Philips&qid=1701064576&sr=8-37
"Philips Norelco Shaver 2400, Cordless Electric Shaver with Pop-Up Trimmer, X3001/90",39,,,https://www.amazon.com/Philips-Norelco-Cordless-X3001-90/dp/B0CLWVH384/ref=sr_1_39?keywords=Philips&qid=1701064576&sr=8-39
"Philips Sonicare Genuine Replacement Toothbrush Heads Variety Pack, C3 Premium Plaque Control, G3 Premium Gum Care & W3 Premium White, 3 Brush Heads, White, HX9073/65",23,4.8 out of 5 stars,"6,168",https://www.amazon.com/Genuine-Philips-Sonicare-replacement-toothbrush/dp/B071HQF6D7/ref=sr_1_40?keywords=Philips&qid=1701064576&sr=8-40
"Philips Norelco OneBlade Face + Body Bonus Pack with FREE Blade, QP2630/72",56,4.7 out of 5 stars,842,https://www.amazon.com/Philips-Norelco-OneBlade-QP2630-72/dp/B07C336J4Q/ref=sr_1_41?keywords=Philips&qid=1701064576&sr=8-41
"PHILIPS AquaClean Original Calc and Water Filter, No Descaling up to 5,000 cups, Reduces Formation of Limescale, 2 AquaClean Filters, (CA6903/22)",27,4.8 out of 5 stars,"4,971",https://www.amazon.com/Philips-Saeco-AquaClean-CA6903-22/dp/B08G3DGBWV/ref=sr_1_42?keywords=Philips&qid=1701064576&sr=8-42
"Philips Fingerprint Door Lock, Keyless Entry Door Lock, Electronic Door Lock, Touchscreen Keypad Deadbolt - Easy Installation and Set up - Matte Black",139,4.1 out of 5 stars,201,https://www.amazon.com/Philips-Fingerprint-Electronic-Touchscreen-Deadbolt/dp/B0C1C9Q1KD/ref=sr_1_43?keywords=Philips&qid=1701064576&sr=8-43
"Philips Satinelle Essential Compact Hair Removal Epilator for Women, BRE235/04",34,4.3 out of 5 stars,"6,058",https://www.amazon.com/Philips-Beauty-Satinelle-BRE235-04/dp/B07YSW6NMW/ref=sr_1_44?keywords=Philips&qid=1701064576&sr=8-44
"Philips Sonicare ProtectiveClean 5100 Gum Health, Rechargeable Electric Power Toothbrush, Black, HX6850/60",89,4.6 out of 5 stars,"25,390",https://www.amazon.com/Philips-Sonicare-ProtectiveClean-Rechargeable-HX6850/dp/B078GVH2VJ/ref=sr_1_45?keywords=Philips&qid=1701064576&sr=8-45
Philips Replacement Shaver Head for Series 9000 & Prestige S9000 Precision Blades,45,4.5 out of 5 stars,"2,557",https://www.amazon.com/Philips-Replacement-Shaver-Prestige-Precision/dp/B0937DT67K/ref=sr_1_46?keywords=Philips&qid=1701064576&sr=8-46
PHILIPS Fidelio X2HR Over The Ear Open Back Wired Headphone 50mm Drivers- Black Professional Studio Monitor Headphones with Detachable Cable,123,4.6 out of 5 stars,"7,266",https://www.amazon.com/PHILIPS-X2HR-Professional-Headphones-Detachable/dp/B01N5VHLUG/ref=sr_1_47?keywords=Philips&qid=1701064576&sr=8-47
"Philips Hue Indoor 6-Foot Smart LED Light Strip Base Kit with Plug - Flowing Multicolor Effect - 1 Pack - Control with Hue App - Works with Alexa, Google Assistant and Apple HomeKit",127,4.4 out of 5 stars,"6,416",https://www.amazon.com/Philips-Hue-Bluetooth-Lightstrip-570556/dp/B09BDK76R2/ref=sr_1_48?keywords=Philips&qid=1701064576&sr=8-48
Philips Sonicare Original W2 Optimal White Standard Sonic Toothbrush Heads - 4 Pack in White (Model HX6064/10),23,4.7 out of 5 stars,"12,399",https://www.amazon.com/Philips-Sonicare-HX6064-10-Set-brushsync/dp/B079H8G39B/ref=sr_1_49?keywords=Philips&qid=1701064584&sr=8-49
"Philips Hue Smart Light Starter Kit - Includes (1) Bridge and (4) 75W A19, E26 LED Smart White and Color Ambiance Bulbs - Control with App",159,4.6 out of 5 stars,521,https://www.amazon.com/Philips-Hue-Compatible-Assistant-Ambiance/dp/B09BSHFLD9/ref=sr_1_50?keywords=Philips&qid=1701064584&sr=8-50
"Philips Norelco One Blade Hybrid Electric Shaver, Face + Body Trimmer for Men, NeeGo Case for Philips OneBlade QP2630",59,4.6 out of 5 stars,127,https://www.amazon.com/Philips-Norelco-Electric-Trimmer-OneBlade/dp/B0BTDVBHXF/ref=sr_1_51?keywords=Philips&qid=1701064584&sr=8-51
Philip: The Final Portrait - THE INSTANT SUNDAY TIMES BESTSELLER,0,4.6 out of 5 stars,"1,177",https://www.amazon.com/Philip-Portrait-INSTANT-SUNDAY-BESTSELLER-ebook/dp/B092VD3CSP/ref=sr_1_52?keywords=Philips&qid=1701064584&sr=8-52
"Philips SmartSleep Wake-up Light, Colored Sunrise and Sunset Simulation, 5 Natural Sounds, FM Radio & Reading Lamp, Tap Snooze, HF3520/60",88,4.3 out of 5 stars,"13,670",https://www.amazon.com/Philips-Simulation-Headspace-Subscription-HF3520/dp/B0093162RM/ref=sr_1_53?keywords=Philips&qid=1701064584&sr=8-53
"SH90 Replacement Rotary Heads for Philips Norelco Shavers Series 9000, New Version of Metal Wheel Buckle and Upgrade Double-Layer Precision Blades",23,3.7 out of 5 stars,778,https://www.amazon.com/Replacement-Philips-Norelco-double-layer-Precision/dp/B0BGB9SZ42/ref=sr_1_54?keywords=Philips&qid=1701064584&sr=8-54
"Philips Norelco Shaver 7600, Rechargeable Wet & Dry Electric Shaver with SenseIQ Technology, Quick Clean Pod, Travel Case and Pop-up Trimmer, S7886/84, Multi",109,4.4 out of 5 stars,127,https://www.amazon.com/Philips-Norelco-Rechargeable-Technology-S7886/dp/B0BPZST7R6/ref=sr_1_55?keywords=Philips&qid=1701064584&sr=8-55
"Philips Hue Go White and Color Portable Dimmable LED Smart Light Table Lamp (Requires Hue Hub, Works with Alexa, HomeKit and Google Assistant), White",105,4.5 out of 5 stars,"1,992",https://www.amazon.com/Philips-Hue-Portable-Dimmable-Assistant/dp/B00UVHAC1O/ref=sr_1_56?keywords=Philips&qid=1701064584&sr=8-56
"Philips Sonicare DiamondClean Smart 9750 Rechargeable Electric Power Toothbrush, Lunar Blue, HX9954/56",199,4.5 out of 5 stars,"2,326",https://www.amazon.com/Philips-Sonicare-DiamondClean-Rechargeable-toothbrush/dp/B07C799HF6/ref=sr_1_58?keywords=Philips&qid=1701064584&sr=8-58
"Philips Hue Wall Tap Dial Light Switch, Portable, White - 1 Pack - Exclusively for Philips Hue Smart Lights - Smart Home - Easy, No-Wire Installation",49,4.7 out of 5 stars,"9,577",https://www.amazon.com/Philips-Hue-Switch-Installation-Free-Exclusively/dp/B0B6LLKHTM/ref=sr_1_59?keywords=Philips&qid=1701064584&sr=8-59
"Philips Hue Play White & Color Smart Light, 2 Pack Base kit, Hub Required/Power Supply Included (Works with Amazon Alexa, Apple Homekit & Google Home), Black",109,4.7 out of 5 stars,"11,127",https://www.amazon.com/Philips-White-Color-Ambiance-Double/dp/B07GXB3S7Z/ref=sr_1_60?keywords=Philips&qid=1701064584&sr=8-60
"Philips Sonicare Power Flosser 3000 Cordless, White, HX3806/21",69,4.3 out of 5 stars,"3,020",https://www.amazon.com/Philips-Sonicare-Cordless-HX3806-21/dp/B09QNY6PRY/ref=sr_1_61?keywords=Philips&qid=1701064584&sr=8-61
